Next Week,Weekday,Item Name,Forecast,Forecast Lower,Forecast Upper
2025-03-22,Saturday,Earl Grey tea,1.0,1.0,1.0
2025-03-23,Sunday,Earl Grey tea,1.0,1.0,1.0
2025-03-24,Monday,Earl Grey tea,1.0,1.0,1.0
2025-03-25,Tuesday,Earl Grey tea,1.0,1.0,1.0
2025-03-26,Wednesday,Earl Grey tea,1.0,1.0,1.0
2025-03-27,Thursday,Earl Grey tea,1.0,1.0,1.0
2025-03-21,Friday,Eat real hummus chips,-1.0,-3.0,0.0
2025-03-22,Saturday,Eat real hummus chips,-1.0,-3.0,0.0
2025-03-23,Sunday,Eat real hummus chips,-1.0,-3.0,0.0
2025-03-24,Monday,Eat real hummus chips,-2.0,-3.0,0.0
2025-03-25,Tuesday,Eat real hummus chips,-2.0,-3.0,-0.0
2025-03-26,Wednesday,Eat real hummus chips,-2.0,-3.0,-0.0
2025-03-27,Thursday,Eat real hummus chips,-2.0,-4.0,-0.0
2025-03-21,Friday,Eggs on toast,2.0,0.0,3.0
2025-03-22,Saturday,Eggs on toast,2.0,0.0,3.0
2025-03-23,Sunday,Eggs on toast,2.0,0.0,3.0
2025-03-24,Monday,Eggs on toast,2.0,0.0,3.0
2025-03-25,Tuesday,Eggs on toast,2.0,0.0,3.0
2025-03-26,Wednesday,Eggs on toast,2.0,0.0,3.0
2025-03-27,Thursday,Eggs on toast,2.0,0.0,3.0
2025-03-21,Friday,Eggy Banana Muffins,-1.0,-2.0,1.0
2025-03-22,Saturday,Eggy Banana Muffins,-1.0,-2.0,1.0
2025-03-23,Sunday,Eggy Banana Muffins,-1.0,-2.0,1.0
2025-03-24,Monday,Eggy Banana Muffins,-1.0,-2.0,0.0
2025-03-25,Tuesday,Eggy Banana Muffins,-1.0,-2.0,0.0
2025-03-26,Wednesday,Eggy Banana Muffins,-1.0,-2.0,0.0
2025-03-27,Thursday,Eggy Banana Muffins,-1.0,-2.0,-0.0
2025-03-21,Friday,Elderflower Sparkling,4.0,3.0,5.0
2025-03-22,Saturday,Elderflower Sparkling,4.0,3.0,5.0
2025-03-23,Sunday,Elderflower Sparkling,4.0,3.0,5.0
2025-03-24,Monday,Elderflower Sparkling,4.0,3.0,5.0
2025-03-25,Tuesday,Elderflower Sparkling,4.0,3.0,5.0
2025-03-26,Wednesday,Elderflower Sparkling,4.0,3.0,5.0
2025-03-27,Thursday,Elderflower Sparkling,4.0,3.0,5.0
2025-03-21,Friday,English breakfast tea,2.0,-1.0,4.0
2025-03-22,Saturday,English breakfast tea,2.0,-1.0,4.0
2025-03-23,Sunday,English breakfast tea,2.0,-1.0,4.0
2025-03-24,Monday,English breakfast tea,1.0,-1.0,4.0
2025-03-25,Tuesday,English breakfast tea,1.0,-1.0,4.0
2025-03-26,Wednesday,English breakfast tea,1.0,-2.0,4.0
2025-03-27,Thursday,English breakfast tea,1.0,-1.0,4.0
2025-03-21,Friday,Espresso,2.0,2.0,3.0
2025-03-22,Saturday,Espresso,2.0,2.0,3.0
2025-03-23,Sunday,Espresso,2.0,2.0,3.0
2025-03-24,Monday,Espresso,2.0,2.0,3.0
2025-03-25,Tuesday,Espresso,2.0,2.0,3.0
2025-03-26,Wednesday,Espresso,3.0,2.0,3.0
2025-03-27,Thursday,Espresso,3.0,2.0,3.0
2025-03-21,Friday,Extra avocado,1.0,1.0,1.0
2025-03-22,Saturday,Extra avocado,1.0,1.0,1.0
2025-03-23,Sunday,Extra avocado,1.0,1.0,1.0
2025-03-24,Monday,Extra avocado,1.0,1.0,1.0
2025-03-25,Tuesday,Extra avocado,1.0,1.0,1.0
2025-03-26,Wednesday,Extra avocado,1.0,1.0,1.0
2025-03-27,Thursday,Extra avocado,1.0,1.0,1.0
2025-03-21,Friday,Flat White,15.0,10.0,20.0
2025-03-22,Saturday,Flat White,15.0,10.0,21.0
2025-03-23,Sunday,Flat White,15.0,10.0,20.0
2025-03-24,Monday,Flat White,15.0,11.0,20.0
2025-03-25,Tuesday,Flat White,15.0,10.0,21.0
2025-03-26,Wednesday,Flat White,15.0,10.0,20.0
2025-03-27,Thursday,Flat White,16.0,11.0,20.0
2025-03-21,Friday,Frittata & 1 spoon of salad,1.0,1.0,1.0
2025-03-22,Saturday,Frittata & 1 spoon of salad,1.0,1.0,1.0
2025-03-23,Sunday,Frittata & 1 spoon of salad,1.0,1.0,1.0
2025-03-24,Monday,Frittata & 1 spoon of salad,1.0,1.0,1.0
2025-03-25,Tuesday,Frittata & 1 spoon of salad,1.0,1.0,1.0
2025-03-26,Wednesday,Frittata & 1 spoon of salad,1.0,1.0,1.0
2025-03-27,Thursday,Frittata & 1 spoon of salad,1.0,1.0,1.0
2025-03-21,Friday,Granola & Yoghurt,1.0,1.0,1.0
2025-03-22,Saturday,Granola & Yoghurt,1.0,1.0,1.0
2025-03-23,Sunday,Granola & Yoghurt,1.0,1.0,1.0
2025-03-24,Monday,Granola & Yoghurt,1.0,1.0,1.0
2025-03-25,Tuesday,Granola & Yoghurt,1.0,1.0,1.0
2025-03-26,Wednesday,Granola & Yoghurt,1.0,1.0,1.0
2025-03-27,Thursday,Granola & Yoghurt,1.0,1.0,1.0
2025-03-21,Friday,Green tea,1.0,1.0,1.0
2025-03-22,Saturday,Green tea,1.0,1.0,1.0
2025-03-23,Sunday,Green tea,1.0,1.0,1.0
2025-03-24,Monday,Green tea,1.0,1.0,1.0
2025-03-25,Tuesday,Green tea,1.0,1.0,1.0
2025-03-26,Wednesday,Green tea,1.0,1.0,1.0
2025-03-27,Thursday,Green tea,1.0,1.0,1.0
2025-03-21,Friday,Hot Chocolate,2.0,1.0,4.0
2025-03-22,Saturday,Hot Chocolate,2.0,1.0,4.0
2025-03-23,Sunday,Hot Chocolate,2.0,1.0,4.0
2025-03-24,Monday,Hot Chocolate,2.0,1.0,4.0
2025-03-25,Tuesday,Hot Chocolate,2.0,1.0,4.0
2025-03-26,Wednesday,Hot Chocolate,2.0,1.0,4.0
2025-03-27,Thursday,Hot Chocolate,2.0,0.0,4.0
2025-03-21,Friday,Iced Chai latte,11.0,11.0,11.0
2025-03-22,Saturday,Iced Chai latte,11.0,11.0,12.0
2025-03-23,Sunday,Iced Chai latte,12.0,12.0,12.0
2025-03-24,Monday,Iced Chai latte,12.0,12.0,13.0
2025-03-25,Tuesday,Iced Chai latte,13.0,13.0,13.0
2025-03-26,Wednesday,Iced Chai latte,13.0,13.0,14.0
2025-03-27,Thursday,Iced Chai latte,14.0,14.0,14.0
2025-03-21,Friday,Iced Latte,8.0,8.0,8.0
2025-03-22,Saturday,Iced Latte,8.0,8.0,8.0
2025-03-23,Sunday,Iced Latte,9.0,9.0,9.0
2025-03-24,Monday,Iced Latte,9.0,9.0,9.0
2025-03-25,Tuesday,Iced Latte,9.0,9.0,9.0
2025-03-26,Wednesday,Iced Latte,9.0,9.0,9.0
2025-03-27,Thursday,Iced Latte,10.0,10.0,10.0
2025-03-21,Friday,Iced Mocha,1.0,1.0,1.0
2025-03-22,Saturday,Iced Mocha,1.0,1.0,1.0
2025-03-23,Sunday,Iced Mocha,1.0,1.0,1.0
2025-03-24,Monday,Iced Mocha,1.0,1.0,1.0
2025-03-25,Tuesday,Iced Mocha,1.0,1.0,1.0
2025-03-26,Wednesday,Iced Mocha,1.0,1.0,1.0
2025-03-27,Thursday,Iced Mocha,1.0,1.0,1.0
2025-03-21,Friday,Kalo yoghurt rice cake,-5.0,-5.0,-5.0
2025-03-22,Saturday,Kalo yoghurt rice cake,-5.0,-5.0,-5.0
2025-03-23,Sunday,Kalo yoghurt rice cake,-6.0,-6.0,-6.0
2025-03-24,Monday,Kalo yoghurt rice cake,-6.0,-6.0,-6.0
2025-03-25,Tuesday,Kalo yoghurt rice cake,-6.0,-6.0,-6.0
2025-03-26,Wednesday,Kalo yoghurt rice cake,-7.0,-7.0,-7.0
2025-03-27,Thursday,Kalo yoghurt rice cake,-7.0,-7.0,-7.0
2025-03-21,Friday,Kids Cawston Press,3.0,-1.0,6.0
2025-03-22,Saturday,Kids Cawston Press,3.0,-1.0,6.0
2025-03-23,Sunday,Kids Cawston Press,3.0,-1.0,6.0
2025-03-24,Monday,Kids Cawston Press,3.0,-1.0,6.0
2025-03-25,Tuesday,Kids Cawston Press,3.0,-1.0,6.0
2025-03-26,Wednesday,Kids Cawston Press,3.0,-1.0,6.0
2025-03-27,Thursday,Kids Cawston Press,2.0,-1.0,6.0
2025-03-21,Friday,Kids Cheese sandwich,1.0,-1.0,3.0
2025-03-22,Saturday,Kids Cheese sandwich,0.0,-2.0,2.0
2025-03-23,Sunday,Kids Cheese sandwich,0.0,-2.0,2.0
2025-03-24,Monday,Kids Cheese sandwich,0.0,-2.0,2.0
2025-03-25,Tuesday,Kids Cheese sandwich,0.0,-2.0,2.0
2025-03-26,Wednesday,Kids Cheese sandwich,0.0,-2.0,2.0
2025-03-27,Thursday,Kids Cheese sandwich,-0.0,-2.0,2.0
2025-03-21,Friday,Kids Hot Chocolate,5.0,3.0,7.0
2025-03-22,Saturday,Kids Hot Chocolate,5.0,3.0,7.0
2025-03-23,Sunday,Kids Hot Chocolate,5.0,3.0,7.0
2025-03-24,Monday,Kids Hot Chocolate,5.0,3.0,7.0
2025-03-25,Tuesday,Kids Hot Chocolate,5.0,3.0,7.0
2025-03-26,Wednesday,Kids Hot Chocolate,5.0,3.0,7.0
2025-03-27,Thursday,Kids Hot Chocolate,5.0,3.0,7.0
2025-03-21,Friday,Kids Lunch Box,2.0,1.0,3.0
2025-03-22,Saturday,Kids Lunch Box,2.0,1.0,3.0
2025-03-23,Sunday,Kids Lunch Box,2.0,2.0,3.0
2025-03-24,Monday,Kids Lunch Box,3.0,2.0,3.0
2025-03-25,Tuesday,Kids Lunch Box,3.0,2.0,3.0
2025-03-26,Wednesday,Kids Lunch Box,3.0,2.0,3.0
2025-03-27,Thursday,Kids Lunch Box,3.0,2.0,4.0
2025-03-21,Friday,Kids Yoghurt,0.0,-0.0,1.0
2025-03-22,Saturday,Kids Yoghurt,0.0,-0.0,1.0
2025-03-23,Sunday,Kids Yoghurt,0.0,-0.0,1.0
2025-03-24,Monday,Kids Yoghurt,0.0,-0.0,1.0
2025-03-25,Tuesday,Kids Yoghurt,0.0,-0.0,1.0
2025-03-26,Wednesday,Kids Yoghurt,0.0,-0.0,1.0
2025-03-27,Thursday,Kids Yoghurt,0.0,-0.0,1.0
2025-03-21,Friday,Kids toast,1.0,0.0,1.0
2025-03-22,Saturday,Kids toast,1.0,0.0,1.0
2025-03-23,Sunday,Kids toast,1.0,0.0,1.0
2025-03-24,Monday,Kids toast,1.0,0.0,1.0
2025-03-25,Tuesday,Kids toast,1.0,0.0,1.0
2025-03-26,Wednesday,Kids toast,0.0,0.0,1.0
2025-03-27,Thursday,Kids toast,0.0,0.0,1.0
2025-03-21,Friday,Latte,14.0,10.0,18.0
2025-03-22,Saturday,Latte,14.0,10.0,18.0
2025-03-23,Sunday,Latte,14.0,10.0,18.0
2025-03-24,Monday,Latte,14.0,10.0,18.0
2025-03-25,Tuesday,Latte,14.0,10.0,18.0
2025-03-26,Wednesday,Latte,14.0,10.0,18.0
2025-03-27,Thursday,Latte,14.0,10.0,18.0
2025-03-21,Friday,Macchiato,1.0,1.0,1.0
2025-03-22,Saturday,Macchiato,1.0,1.0,1.0
2025-03-23,Sunday,Macchiato,1.0,1.0,1.0
2025-03-24,Monday,Macchiato,1.0,1.0,1.0
2025-03-25,Tuesday,Macchiato,1.0,1.0,1.0
2025-03-26,Wednesday,Macchiato,1.0,1.0,1.0
2025-03-27,Thursday,Macchiato,1.0,1.0,1.0
2025-03-21,Friday,Matcha latte,-1.0,-1.0,-0.0
2025-03-22,Saturday,Matcha latte,-1.0,-1.0,-0.0
2025-03-23,Sunday,Matcha latte,-1.0,-1.0,-0.0
2025-03-24,Monday,Matcha latte,-1.0,-1.0,-1.0
2025-03-25,Tuesday,Matcha latte,-1.0,-1.0,-1.0
2025-03-26,Wednesday,Matcha latte,-1.0,-1.0,-1.0
2025-03-27,Thursday,Matcha latte,-1.0,-2.0,-1.0
2025-03-21,Friday,Mocha,1.0,0.0,3.0
2025-03-22,Saturday,Mocha,1.0,0.0,3.0
2025-03-23,Sunday,Mocha,1.0,0.0,2.0
2025-03-24,Monday,Mocha,1.0,0.0,2.0
2025-03-25,Tuesday,Mocha,1.0,0.0,2.0
2025-03-26,Wednesday,Mocha,1.0,0.0,2.0
2025-03-27,Thursday,Mocha,1.0,0.0,2.0
2025-03-21,Friday,Nduja & potato toastie,-0.0,-0.0,0.0
2025-03-22,Saturday,Nduja & potato toastie,-0.0,-0.0,0.0
2025-03-23,Sunday,Nduja & potato toastie,-0.0,-1.0,0.0
2025-03-24,Monday,Nduja & potato toastie,-0.0,-1.0,0.0
2025-03-25,Tuesday,Nduja & potato toastie,-0.0,-1.0,0.0
2025-03-26,Wednesday,Nduja & potato toastie,-0.0,-1.0,-0.0
2025-03-27,Thursday,Nduja & potato toastie,-0.0,-1.0,-0.0
2025-03-21,Friday,Orange Juice,-3.0,-3.0,-3.0
2025-03-22,Saturday,Orange Juice,-3.0,-3.0,-3.0
2025-03-23,Sunday,Orange Juice,-3.0,-3.0,-3.0
2025-03-24,Monday,Orange Juice,-3.0,-3.0,-3.0
2025-03-25,Tuesday,Orange Juice,-4.0,-4.0,-4.0
2025-03-26,Wednesday,Orange Juice,-4.0,-4.0,-4.0
2025-03-27,Thursday,Orange Juice,-4.0,-4.0,-4.0
2025-03-21,Friday,PIP - Organic,2.0,1.0,3.0
2025-03-22,Saturday,PIP - Organic,2.0,1.0,3.0
2025-03-23,Sunday,PIP - Organic,2.0,1.0,3.0
2025-03-24,Monday,PIP - Organic,2.0,1.0,3.0
2025-03-25,Tuesday,PIP - Organic,2.0,1.0,3.0
2025-03-26,Wednesday,PIP - Organic,2.0,1.0,3.0
2025-03-27,Thursday,PIP - Organic,2.0,1.0,3.0
2025-03-21,Friday,Pain Au Chocolat,5.0,3.0,6.0
2025-03-22,Saturday,Pain Au Chocolat,5.0,3.0,7.0
2025-03-23,Sunday,Pain Au Chocolat,5.0,3.0,7.0
2025-03-24,Monday,Pain Au Chocolat,5.0,3.0,7.0
2025-03-25,Tuesday,Pain Au Chocolat,5.0,3.0,7.0
2025-03-26,Wednesday,Pain Au Chocolat,5.0,3.0,7.0
2025-03-27,Thursday,Pain Au Chocolat,5.0,4.0,7.0
2025-03-21,Friday,Pain Perdu,3.0,2.0,3.0
2025-03-22,Saturday,Pain Perdu,3.0,2.0,3.0
2025-03-23,Sunday,Pain Perdu,3.0,2.0,3.0
2025-03-24,Monday,Pain Perdu,3.0,3.0,3.0
2025-03-25,Tuesday,Pain Perdu,3.0,3.0,4.0
2025-03-26,Wednesday,Pain Perdu,3.0,3.0,4.0
2025-03-27,Thursday,Pain Perdu,3.0,3.0,4.0
2025-03-21,Friday,Peach Iced Tea,2.0,1.0,3.0
2025-03-22,Saturday,Peach Iced Tea,2.0,1.0,3.0
2025-03-23,Sunday,Peach Iced Tea,2.0,1.0,4.0
2025-03-24,Monday,Peach Iced Tea,2.0,1.0,4.0
2025-03-25,Tuesday,Peach Iced Tea,2.0,1.0,3.0
2025-03-26,Wednesday,Peach Iced Tea,2.0,1.0,4.0
2025-03-27,Thursday,Peach Iced Tea,2.0,1.0,4.0
2025-03-21,Friday,Peanut Chia Bowl,1.0,1.0,1.0
2025-03-22,Saturday,Peanut Chia Bowl,1.0,1.0,1.0
2025-03-23,Sunday,Peanut Chia Bowl,1.0,1.0,1.0
2025-03-24,Monday,Peanut Chia Bowl,1.0,1.0,1.0
2025-03-25,Tuesday,Peanut Chia Bowl,1.0,1.0,1.0
2025-03-26,Wednesday,Peanut Chia Bowl,1.0,1.0,1.0
2025-03-27,Thursday,Peanut Chia Bowl,1.0,1.0,1.0
2025-03-21,Friday,Plain Sourdough Toast,1.0,1.0,1.0
2025-03-22,Saturday,Plain Sourdough Toast,1.0,1.0,1.0
2025-03-23,Sunday,Plain Sourdough Toast,1.0,1.0,1.0
2025-03-24,Monday,Plain Sourdough Toast,1.0,1.0,1.0
2025-03-25,Tuesday,Plain Sourdough Toast,1.0,1.0,1.0
2025-03-26,Wednesday,Plain Sourdough Toast,1.0,1.0,1.0
2025-03-27,Thursday,Plain Sourdough Toast,1.0,1.0,1.0
2025-03-21,Friday,Pulled pork Bun,2.0,2.0,3.0
